"Code","Name","Continent","Region","Population","LifeExpectancy","GNP","GovernmentForm","HeadOfState"
"MUS","Mauritius","Africa","Eastern Africa","1158000","71","4251","Republic","Cassam Uteem"
"MWI","Malawi","Africa","Eastern Africa","10925000","37.6","1687","Republic","Bakili Muluzi"
"MYS","Malaysia","Asia","Southeast Asia","22244000","70.8","69213","Constitutional Monarchy, Federation","Salahuddin Abdul Aziz Shah Alhaj"
"MYT","Mayotte","Africa","Eastern Africa","149000","59.5","0","Territorial Collectivity of France","Jacques Chirac"
"NAM","Namibia","Africa","Southern Africa","1726000","42.5","3101","Republic","Sam Nujoma"
"NCL","New Caledonia","Oceania","Melanesia","214000","72.8","3563","Nonmetropolitan Territory of France","Jacques Chirac"
"NER","Niger","Africa","Western Africa","10730000","41.3","1706","Republic","Mamadou Tandja"
"NFK","Norfolk Island","Oceania","Australia and New Zealand","2000","","0","Territory of Australia","Elizabeth II"
"NGA","Nigeria","Africa","Western Africa","111506000","51.6","65707","Federal Republic","Olusegun Obasanjo"
"NIC","Nicaragua","North America","Central America","5074000","68.7","1988","Republic","Arnoldo Alemán Lacayo"
"NIU","Niue","Oceania","Polynesia","2000","","0","Nonmetropolitan Territory of New Zealand","Elizabeth II"
"NLD","Netherlands","Europe","Western Europe","15864000","78.3","371362","Constitutional Monarchy","Beatrix"
"NOR","Norway","Europe","Nordic Countries","4478500","78.7","145895","Constitutional Monarchy","Harald V"
"NPL","Nepal","Asia","Southern and Central Asia","23930000","57.8","4768","Constitutional Monarchy","Gyanendra Bir Bikram"
"NRU","Nauru","Oceania","Micronesia","12000","60.8","197","Republic","Bernard Dowiyogo"
"NZL","New Zealand","Oceania","Australia and New Zealand","3862000","77.8","54669","Constitutional Monarchy","Elizabeth II"
"OMN","Oman","Asia","Middle East","2542000","71.8","16904","Monarchy (Sultanate)","Qabus ibn SaŽid"
"PAK","Pakistan","Asia","Southern and Central Asia","156483000","61.1","61289","Republic","Mohammad Rafiq Tarar"
"PAN","Panama","North America","Central America","2856000","75.5","9131","Republic","Mireya Elisa Moscoso Rodríguez"
"PCN","Pitcairn","Oceania","Polynesia","50","","0","Dependent Territory of the UK","Elizabeth II"
"PER","Peru","South America","South America","25662000","70","64140","Republic","Valentin Paniagua Corazao"
"PHL","Philippines","Asia","Southeast Asia","75967000","67.5","65107","Republic","Gloria Macapagal-Arroyo"
